Year completed,Date Completed,Project Code,Project Name,Regional Economic Development Council,NYISO Zone,NY State County,NY Region,Customer,Agency,Project category,Facility Description,Number of Facilities,Total Project Cost,First Year Bill Savings,Demand Reduction (KW),Electric Energy Reduction (kWh),Gas Savings (Therms),Oil Savings (Gallons),Steam Savings (M Lbs),Digester Gas Savings (CCF),Coal Savings (Tons),Equivalent Barrels of Oil Saved,Reduction in Greenhouse Gas Emissions (Tons),Renewable Energy (KW),Address,Address Ext,City,State,Zip,Project or Program description
2015,10/15/2015,ES-GSN-0749,NYCT - 3rd Rail Heater Wireless Controls - Ph.IV,New York City,J - New York City,NEW YORK,Southeastern,MTA - Metropolitan Transportation Authority,MTA - New York City Transit Authority,Energy Efficiency - Comprehensive,MTA Traction Loads,1,2675842,549409,185.5,9757563,0,0,0,0,0,22565.1,2819.682,0,38th Street 3Rd Rail Yard,,Brooklyn,NY,11201,"Phase IV: install a wireless control network to remotely activate 3rd rail heaters from a central location(38th Street Yard - Brooklyn). The operational state and status (such as current, voltage, on/off, radio strength, etc.) of rail heaters will also be monitored by the wireless controls."
2015,10/14/2015,ES-ESN-0542,Hoosick Falls CSD - Wood Pellet Boiler ESPC - CI,Capital District,F - Capital,RENSSELAER,Central,HOOSICK FALLS CSD,,Renewables - Biomass,"Schools, Elementary and Secondary",1,214078,44422,0,0,0,34732,0,0,0,896.3793,355.6897,0,21187 NY Rt 22,,Hoosick Falls,NY,12090,Customer Implemented - The scope of work for this project includes installation of a wood pellet boiler and a silo for the pellets and the moving of the school's generator to another locatio
2015,10/14/2015,ES-GSN-0663,PS-21Q (Edward Hart School),New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency - Comprehensive,"Schools, Elementary and Secondary",1,940236,51657,90,316594,4660,0,0,0,0,812.5759,116.2367,0,147-36 26th Avenue,,Queens,NY,11354,"Upgrade lighting with energy efficient lighting, and install vacancy sensors"
2015,10/13/2015,ES-ESN-0489,"OPRHP Taconic, NYC, & LI Regions - 14 Parks - Energy Master Plan",Capital District,F - Capital,ALBANY,Central,"State of New York (OGS, SUNY, all state agencies)","NYS Office of Parks, Recreation and Historic Preservation",Energy Master Plan,"Aquariums, Parks, Zoos and Nature Centers",14,173214,0,0,0,0,0,0,,0,0,0,0,Empire State Plaza,Agency Building 1,Albany,NY,12242,"The scope of work for this project includes development of an Energy Master Plan for fourteen NYS parks in the Long Island, Taconic, & NYC regions in support of the Build Smart NY initiative."
2015,09/18/2015,ES-GSN-0742,NYCT - Tunnel Series LED Lighting - Ph. IV,New York City,J - New York City,NEW YORK,Southeastern,MTA - Metropolitan Transportation Authority,MTA - New York City Transit Authority,Energy Efficiency - LED Lighting,"Subway Platform, Track Signals and Tunnel Lighting",1,300438,42816,48.1,443150,0,0,0,,0,1073.5,128.0588,0,126 West 53rd,,New York,NY,10019,Furnish and Supply LED bulbs to replace existing blue incandescent and fluorescent 120v / 277v used for track disconnects in subway tunnels.
2015,09/16/2015,ES-GSN-0715,NYC DEP - 26th Ward WWTP - Lighting Study,New York City,J - New York City,KINGS,Southeastern,NYC DEPT OF ENVIRONMENTAL PROTECTION,NYC Department of Environmental Protection,Energy Audit / Feasibility Study,"Sewage Treatment, Landfill, and Water Supply Facilities",1,195813,0,0,0,0,0,0,0,0,0,0,0,Van Siclen Ave and Schroeder Ave,,Brooklyn,NY,11239,Feasibility Study including the installation of sample lighting throughout various plant locations. The findings of the study will be used to identify the fixtures to be installed that will increase energy efficiency.
2015,08/31/2015,ES-GSN-0707,CUNY Internet Metering - Software Integration,New York City,J - New York City,NEW YORK,Southeastern,CITY UNIVERSITY OF NEW YORK,City University of New York,Metering / Sub-metering,Colleges and Universities,6,399743,200971,185,1069820,34967,0,236,,0,3111.586,508.1797,0,555 W. 57th Street,,New York,NY,10019,"Software Integration of Existing Utility Meters at CUNY Senior Campuses. This is a real-time, internet-based, energy monitoring system to help monitor energy consumption, identify energy savings opportunities, and comply with EO88 at CUNY campuses."
2015,08/06/2015,ES-GSN-0593,Metro North - Grand Central Terminal - Ph.II,New York City,J - New York City,NEW YORK,Southeastern,MTA - Metropolitan Transportation Authority,MTA - Metro North Railroad,Energy Efficiency - Comprehensive,"Transit Terminals, Bus and Train Depots, Airports",1,23413734,2476956,-1400,3902939,0,0,111502,0,0,25366.62,7421.021,0,GCT 87 E 42nd st,,New York,NY,10017,"Phase II: Pumps/ VFDs, BMS upgrade / AHUS, steam system repairs, air compressors, chiller plant replacement, cooling tower controls, metering"
2015,07/15/2015,ES-ESN-0444,SUNY Canton - Distributed Wind Power System - Design Only,North Country,E - Mohawk Valley,ST. LAWRENCE,Northern,"State of New York (OGS, SUNY, all state agencies)",State University of New York,Design Services,Colleges and Universities,1,346850,0,0,0,0,0,0,0,0,0,0,0,"34 Cornell Avenue, Canton, NY  13617",,Canton,NY,13617,Phase I: 30% Design and Bid documents only. This project will develop a bid for a turn-key distributed Wind Power System in the range of 200-kW to 2-MW for SUNY Canton.
2015,07/08/2015,ES-GSN-0568,NYC Health and Hospitals - Coney Island Hospital - Boiler Upgrade,New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYC Health & Hospitals Corporation,Energy Efficiency - Boiler/Chiller,"Hospitals, Health, Shelters, Medical Centers",1,9807793,1201102,0,0,-1401059,1040985,1757,0,0,2967.759,3318.847,0,2601 Ocean Parkway,,Brooklyn,NY,11235,Upgrade boiler system at Coney Island Hospital
2015,07/06/2015,ES-GSN-5032,Port Authority - JFK Airport - Building 111 and 141 - Comprehensive,New York City,J - New York City,QUEENS,Southeastern,PORT AUTHORITY OF NY AND NJ,Port Authority of NY & NJ,Energy Efficiency - Comprehensive,"Transit Terminals, Bus and Train Depots, Airports",2,3600153,274533,648.76,865273,169638,0,0,,0,4925.815,1150.989,0,"JFK Airport, Bldg 111 and Bldg 141",,Jamaica,NY,11430,"Upgrade building envelope with energy efficiency measures, including energy efficient roof and windows, mechanical system upgrades, rapid roll-up doors, and lighting."
2015,06/30/2015,ES-GSN-0682,NYCT - Pelham Diesel Shop,New York City,J - New York City,BRONX,Southeastern,MTA - Metropolitan Transportation Authority,MTA - New York City Transit Authority,Energy Efficiency - Comprehensive,"Transit Terminals, Bus and Train Depots, Airports",1,769462,69000,47,242350,0,9792,0,,0,813.1897,170.3125,0,1650 Eastchester Rd.,,Bronx,NY,10461,"Pelham Diesel Shop (PDS) is a separate shop within the NYCT Pelham Maintenance Yard.  Replace lighting with high efficiency T5 and LED lights. Replace two compressors with energy efficient compressors, replace a small boiler, replace three HVAC roof top units."
2015,06/24/2015,ES-GSN-0687,NYCT - Tiffany Warehouse Lighting and Rapid Roll Up Doors,New York City,J - New York City,BRONX,Southeastern,MTA - Metropolitan Transportation Authority,MTA - New York City Transit Authority,Energy Efficiency - Comprehensive,"Transit Terminals, Bus and Train Depots, Airports",1,475921,64182,95.88,602804,,0,0,,0,1393.972,174.1947,0,331 Tiffany St.,,Bronx,NY,10474,Upgrade lighting and roll up doors in the facility.
2015,06/24/2015,OHQ-DGR-01-AAAD,SUNY Stony Brook - CHP/Microgrid - Feasibility Study,Long Island,K - Long Island,SUFFOLK,Southeastern,"State of New York (OGS, SUNY, all state agencies)",State University of New York,CHP/Microgrid Feasibility Study,Colleges and Universities,1,114749,0,0,0,0,0,0,,0,0,0,0,118 Administration building,,Stony Brook,NY,11794,SUNY Stony Brook - CHP/Microgrid initiative - Develop an Energy Resiliency/Micro-Grid investment grade feasibility study for a combined heat and power (CHP) system for SUNY Stony Brook Research Park.
2015,06/11/2015,ES-GSN-0424,PS-21X (Philip H. Sheridan),New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency - Comprehensive,"Schools, Elementary and Secondary",1,1343434,41554,56,191190,-4068,5628,0,0,0,517.2241,91.28003,0,715 East 225th Street,,Bronx,NY,10466,"Install energy efficient lighting, occupancy sensors, remove asbestos/PCBs. Install energy efficient domestic hot water heater."
2015,06/04/2015,ES-GSN-0637,IS-131X (Albert Einstein School) - Design Only,New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,8230,0,0,0,0,0,0,0,0,0,0,0,885 Bolton Avenue,,Bronx,NY,10473,"Design only: Steam trap upgrades, domestic hot water heater upgrade, and boiler replacement"
2015,05/27/2015,ES-ESN-0481,Cornwall Schools - Lighting & HVAC,Mid-Hudson,G - Hudson Valley,ORANGE,Southeastern,CORNWALL CSD,,Energy Efficiency - Comprehensive,"Schools, Elementary and Secondary",9,5179372,290614,0,627540,-60238,82704,0,0,0,2547.138,611.2851,0,10 Dragon Drive,,New Windsor,NY,12553,"Upgrade lighting and lighting controls, replace boiler, and HVAC systems with energy efficient equipment, upgrades and fuel conversion from oil to natural gas boilers, upgrade pool dehumidification system with energy efficient equipment, and installation of a pool cover."
2015,05/26/2015,ES-GSN-0666,IS-238Q (Susan B Anthony School) - Design Only,New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,247688,0,0,0,0,0,0,0,0,0,0,0,88-15 182nd Street,,Queens,NY,11423,"Design Only: Lighting, lighting controls, high efficiency motor replacements, energy maganagement systems upgrade, and steam trap replacement"
2015,05/26/2015,ES-GSN-0739,IS-33K (Mark Hopkins Intermediate School) - Design Only,New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,78705,0,0,0,0,0,0,,0,0,0,0,70 Tompkins Ave.,,Brooklyn,NY,11206,"Design Only: installation of boiler controls, steam trap upgrades, window A/C controls, and HVAC controls."
2015,05/26/2015,ES-GSN-0635,PS-111X (Seton Falls School) - Design Only,New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,151098,0,0,0,0,0,0,0,0,0,0,0,3740 Baychester Ave,,Bronx,NY,10466,"Design Only: Lighting upgrades, installation of wireless vacancy sensors, steam trap replacement, domestic hot water heater, and boiler replacement"
2015,05/26/2015,ES-GSN-0623,PS-115M (Alexander Humboldt School) - Design Only,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,150047,0,0,0,0,0,0,0,0,0,0,0,586 West 177th Street,,Manhattan,NY,10033,"Design Only:  lighting, controls, abatement of ACM wiring and PCB, and steam system upgrades including wireless pneumatic thermostats, control valves, thermostatic steam trap replacement, and a new vacuum pump/condensate return system."
2015,05/26/2015,ES-GSN-0674,PS-131K - Design Only,New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,149203,0,0,0,0,0,0,0,0,0,0,0,4305 Fort Hamilton Parkway,,Brooklyn,NY,11219,Design Only: Lighting upgrades and wireless vacancy sensors
2015,05/26/2015,ES-GSN-0630,PS-217M (Roosevelt School) - Design Only,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,254871,0,0,0,0,0,0,0,0,0,0,0,645 Main Street,,Manhattan,NY,10044,"Design Only: Lighting & Lighting Control Sensor Upgrades, replace existing electric boilers with new natural gas high efficiency boilers, upgrade the existing centrifugal chiller with a VFD to the compressor, replacement of standard efficiency motors with premium efficiency motors on the heating and ventilating units located in the fan room, Energy Management Control System (EMCS) Upgrades"
2015,05/26/2015,ES-GSN-0656,PS-44R (Thomas C. Brown School) - Design Only,New York City,J - New York City,RICHMOND,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,97247,0,0,0,0,0,0,0,0,0,0,0,80 Maple Parkway,,Staten Island,NY,10303,"Design Only: Lighting upgrades, wireless vacancy sensors, steam trap replacement, and premium efficiency motors"
2015,05/26/2015,ES-GSN-0683,PS-9K (Teunis G. Bergen School) - Design Only,New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,153567,0,0,0,0,0,0,0,0,0,0,0,80 Underhill Avenue,,Brooklyn,NY,11238,"Burner replacement with dual fuel burners and upgrades to steam traps, premium efficiency motor replacement, domestic hot water installation, and HVAC Control optimization."
2015,05/22/2015,ES-GSN-0503,NYCT - Coney Island Yard - Boiler Replacement,New York City,J - New York City,KINGS,Southeastern,MTA - Metropolitan Transportation Authority,MTA - New York City Transit Authority,Energy Efficiency - Boiler/Chiller,"Transit Terminals, Bus and Train Depots, Airports",1,5371039,259290,0,0,264581,0,0,0,0,4561.724,1405.19,0,2556 McDonald Ave,,Brooklyn,NY,11223,"Replace three existing high pressure steam boilers and associated boiler room auxiliary equipment, with three new energy efficient high pressure steam boilers and new auxiliary equipment at NYCT's Coney Island Train Yard."
2015,05/21/2015,ES-ESN-0496,Orchard Park Fire District - Design Only,Western New York,A - West,ERIE,Western,ORCHARD PARK FIRE DISTRICT,,Design Services,"Police Precincts, Fire Stations",5,9351,0,0,0,0,0,0,,0,0,0,0,30 School st,,Orchard Park,NY,14127,"Design only:  The scope of work for this project includes lighting retrofits and controls, upgrades to HVAC systems."
2015,04/17/2015,ES-GSN-0654,PS-25M (Marta Valle High School) - Design Only,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,77742,0,0,0,0,0,0,0,0,0,0,0,145 Stanton Street,,New York,NY,10002,"60% Design Only - Domestic hot water heater, lighting upgrade, and installation of wireless vacancy sensors"
2015,04/11/2015,ES-GSN-0555,SUNY Downstate Medical Ctr - Window AC Units,New York City,J - New York City,KINGS,Southeastern,"State of New York (OGS, SUNY, all state agencies)",State University of New York,Energy Efficiency - HVAC,Colleges and Universities,3,704524,203327,331.7,1616384,0,0,0,,0,3738.069,467.093,0,450 Clarkson Ave,,Brooklyn,NY,11203-2098,Upgrade air conditioning systems with energy efficient units.
2015,04/02/2015,ES-GSN-0665,A. Philip Randolph Campus HS - Design Only,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,57431,0,0,0,0,0,0,0,0,0,0,0,443 West 135th Street,,Manhattan,NY,10031,"Design only: Lighting upgrades, installation of wireless vacancy sensors, premium efficiency motors, steam trap replacement, HVAC controls, and demand ventilation control"
2015,04/02/2015,ES-GSN-0545,Co-op City Public Schools Campus - Design Only,New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,2802667,0,0,0,0,0,0,0,0,0,0,0,650 Baychester Avenue,,Bronx,NY,10029,"Design Only: Chiller replacement, AHU rehab, and lighting upgrade"
2015,04/02/2015,ES-GSN-0596,IS-125Q (Woodside School) - Design Only,New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,119896,0,0,0,0,0,0,0,0,0,0,0,46-02 47th Avenue,,Queens,NY,11377,"Design Only: Lighting, occupancy sensors, and Heating System Upgrade"
2015,04/02/2015,ES-GSN-0639,IS-127X (The Castle Hill School) - Design Only,New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,156105,0,0,0,0,0,0,0,0,0,0,0,1560 Purdy Street,,Bronx,NY,10462,Design Only: Domestic hot water heater and dual fuel burner upgrades
2015,04/02/2015,ES-GSN-0595,PS-13K (Roberto Clemente School) - Design Only,New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,233209,0,0,0,0,0,0,0,0,0,0,0,557 Pennsylvania Av,,Brooklyn,NY,11207,"Design Only: Lighting and Sensors, HVAC and Controls"
2015,04/02/2015,ES-GSN-0684,PS-20Q (John Bowne School) - Design Only,New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,48196,0,0,0,0,0,0,0,0,0,0,0,142-30 Barclay Avenue,,Queens,NY,11355,Design Only: Upgrade to the current steam system as well as replacement of their current motors with premium high efficiency motors.
2015,04/02/2015,ES-GSN-0634,PS-219Q (Paul Klapper School) - Design Only,New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,246928,0,0,0,0,0,0,0,0,0,0,0,142-42 Gravett Road,Flushing,Queens,NY,11367,"Design Only: Lighting, lighting controls, steam system upgrades, burner replacement, premium efficiency motors, and heat timer controls"
2015,04/02/2015,ES-GSN-0714,PS-39X (Banana Kelly HS) - Design Only,New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,48848,0,0,0,0,0,0,0,0,0,0,0,965 Longwood Avenue,,Bronx,NY,10459,Design Only: Installation of a domestic hot water generation system as well as an upgrade to boiler dual fuel burners.
2015,04/02/2015,ES-GSN-0661,PS-75M (Emily Dickinson School) - Design Only,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,96329,0,0,0,0,0,0,0,0,0,0,0,735 West End Ave,,New York,NY,10025,Design Only: Lighting upgrades and wireless vacancy sensors
2015,04/02/2015,ES-GSN-0604,PS-80R (Michael J. Petrides School) - Design Only,New York City,J - New York City,RICHMOND,Southeastern,CITY OF NEW YORK,NYC Department of Education,Design Services,"Schools, Elementary and Secondary",1,203809,0,0,0,0,0,0,0,0,0,0,0,715 Ocean Terrace,,Staten Island,NY,10301,"Lighting Upgrades, Occupancy Sensors, Premium Efficiency Motors, VFD s, Equipment Time Clocks, DCV, Boiler Controls, Water Heater Replacement, Metering"
2015,03/20/2015,ES-GSN-0699,NYCT - Bus Depot - Rapid Roll Up Door Installation at Multiple Bus Depots,New York City,J - New York City,QUEENS,Southeastern,MTA - Metropolitan Transportation Authority,MTA - New York City Transit Authority,Energy Efficiency - Comprehensive,"Transit Terminals, Bus and Train Depots, Airports",8,1384401,136508,70.6,18823,82722,0,0,,0,1469.695,444.7759,0,Multiple,,multiple,NY,multiple,Replace existing inefficient metal doors with energy efficient rapid roll up doors to reduce air infiltration
2015,03/10/2015,ES-ESN-0518,Monroe County Correctional Facility - CI,Finger Lakes,B - Genesee,MONROE,Central,"MONROE, COUNTY OF",,Energy Efficiency - Comprehensive,Prisons and Correctional Facilities,1,1378764,69015,100.23,623148,21779,0,0,,0,1816.635,199.3178,0,50 West Main Street,,Rochester,NY,14614,"Customer Implemented - The scope of work for this project includes installation of DDC controls, lighting retrofits, energy efficient motors, a chiller, hot water and chilled water pumps, and VFDs, conversion of the hot water system from electrical to natural gas, conversion of a steam boiler to hot water boiler, and improvements to the building envelope."
2015,02/24/2015,ES-GSN-0755,Co-op City Public Schools Campus - Lighting,New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency - LED Lighting,"Schools, Elementary and Secondary",1,2394929,62201,149.87,507240,-8210,0,0,,0,1031.448,102.9759,0,700 Baychester Avenue,,Bronx,NY,10475,Lighting upgrade and occupancy sensor installation
2015,02/24/2015,ES-GSN-0611,PS-307K (Daniel Hale Williams School),New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency - Comprehensive,"Schools, Elementary and Secondary",1,2070177,68525,82.34,341952,2660,0,0,0,0,836.6414,112.9425,0,209 York Street,,Brooklyn,NY,11201,Upgrade lighting and install occupancy sensors. Remove asbestos/PCBs.
2015,02/24/2015,ES-GSN-0587,PS-721M (Manhattan Occupational Training Ctr),New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency - Comprehensive,"Schools, Elementary and Secondary",1,1464229,74136,89.4,255355,23550,0,0,0,0,996.6465,198.865,0,16 Clarkson Street,,Manhattan,NY,10014,"ECM-1  Lighting Retrofit All T12 linear fluorescent lamps with electronic ballasts will be replaced with T8 lamps with high efficiency electronic ballasts. Additionally, incandescent lamps will be re-fixtured with a combination of new T8 fluorescent fixtures of equivalent or greater luminosity, or compact fluorescent downlights when the fixtures are cans recessed in the ceiling. ECM-2 Occupancy Sensors The installation of occupancy sensors in office areas where people come and go will turn lighting off during those unoccupied hours, saving energy. ECM-3  Replacement of Steam Traps The steam traps in the facility are beyond their useful life and a significant amount of them have failed in ether the open or closed position. Traps that are open allow energy to escape to the atmosphere with getting full benefit of that energy. Those that fail closed cause areas to be uncomfortable since energy is not transferred and supplemental means are used by individual users (ie. small electric heaters). ECM-4 Provide Windows in Auditorium The existing windows are missing glass and have been shuttered with plywood. This greatly increases outside air infiltration, increasing the overall building heating load. ECM-5 Provide Direct Digital Controls (DDC) Control Energy will be saved by installing DDC controls to take advantage of time-of-day comfort controls and control of exhaust fans so that the building is not being conditioned when not in use by facility personnel. ECM-6 Replace Heating and Ventilating Units The existing units are in poor condition and are not in operation. Since providing ventilation air is a New York City code requirement, the installation and operation of new H&V units is recommended despite the fact that this will result in greater energy consumption."
2015,02/02/2015,ES-ESN-0423,SUNY Buffalo - Phase 3,Western New York,A - West,ERIE,Western,"State of New York (OGS, SUNY, all state agencies)",State University of New York,Energy Efficiency - Comprehensive,Colleges and Universities,5,17792139,844592,2096,11101890,-118094,0,0,0,0,23637.91,863.0872,0,119 John Beane Center,,Buffalo,NY,14260,"Ellicott Complex- HVAC upgrades, campus-wide exterior lighting upgrades, south campus chilled water loop upgrades, Capen Building HVAC upgrades, north campus interior lighting upgrades."
2015,01/20/2015,ES-ESN-0505,SUNY Buffalo State College - Energy Master Plan,Western New York,A - West,ERIE,Western,"State of New York (OGS, SUNY, all state agencies)",State University of New York,Energy Master Plan,Colleges and Universities,39,266298,0,0,0,0,0,0,,0,0,0,0,1300 Elmwood ave,,Buffalo,NY,14222,The scope of work for this project includes the development of a campus-wide Energy Master Plan in support of the Build Smart NY initiative.
2015,01/15/2015,ES-ESN-0477,City of Lockport - Lighting & HVAC,Western New York,A - West,NIAGARA,Western,"LOCKPORT, CITY OF",,Energy Efficiency - Comprehensive,"County, Municipal, & State Government Offices",5,202970,15570,82.7,177358,-749,0,0,0,0,397.169,19.83007,0,One Locks Plaza,,Lockport,NY,14094,The scope of work for this project includes installation of energy efficient lighting and conversion of DHW heating from electric to natural gas.
2015,01/15/2015,ES-GSN-0719,City of New York - Energy & RCx Audits (Group 7 FY14),New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Dept. Of Citywide Administrative Services,Retro-Commissioning,"Schools, Elementary and Secondary",1,815515,0,0,0,0,0,0,,0,0,0,0,Various,,New York,NY,Various,Perform Energy and Retro-Commissioning Audits
2015,01/07/2015,ES-GSN-0289,Metro North - Grand Central Terminal - Standby Generators,New York City,J - New York City,NEW YORK,Southeastern,MTA - Metropolitan Transportation Authority,MTA - Metro North Railroad,System Reliability - Emergency Generators,"Transit Terminals, Bus and Train Depots, Airports",1,18694156,160000,0,0,0,0,0,0,0,0,0,0,"MNR, 420 Lexington Ave",,New York,NY,10017,Install two standby generators for Grand Central Terminal
2014,12/18/2014,ES-GSN-0764,Port Authority - Advanced Metering - Interim MDSP (Meter Reading & Billing Services),New York City,J - New York City,QUEENS,Southeastern,PORT AUTHORITY OF NY AND NJ,Port Authority of NY & NJ,Metering / Sub-metering,"Transit Terminals, Bus and Train Depots, Airports",100,523043,0,0,0,0,0,0,0,0,0,0,0,various,,Various,NY,various,"Provide funding for interim meter reading and billing services.  The contract duration is expected to be 9 months and expires December 17, 2014. Invoicing will be monthly as lump sum milestone payments."
2014,12/18/2014,ES-GSN-0733,TBTA - Robert F. Kennedy Bridge (Triborough Bridge),New York City,J - New York City,NEW YORK,Southeastern,MTA - Metropolitan Transportation Authority,MTA - Bridges and Tunnels,Energy Efficiency - LED Lighting,"DPW and Sanitation, Garage, Vehicle Maintenance Shop",1,80019,15335,16.93,142680,0,0,0,,0,341.019,41.23081,0,Randalls Island,,Randall’s Island,NY,10035,Energy efficient lighting upgrade
2014,12/17/2014,ES-GSN-0328,NYC DEP - Owl's Head WWTP - Ph.1: Improvements to the Fuel Gas System,New York City,J - New York City,KINGS,Southeastern,NYC DEPT OF ENVIRONMENTAL PROTECTION,NYC Department of Environmental Protection,Renewables - Landfill Gas/ADG,"Sewage Treatment, Landfill, and Water Supply Facilities",1,19593507,1269628,0,13639000,-327197,365528,0,129854000,0,35333.79,5946.938,0,Owls WPCP 6700 Shore Rd.,,Brooklyn,NY,11209,Upgrade gas collection system at the Owls Head WWTP.
2014,12/17/2014,ES-ESN-0340,SUNY Upstate Medical University - Ph.4,Central New York,C - Central,ONONDAGA,Central,"State of New York (OGS, SUNY, all state agencies)",State University of New York,Energy Efficiency - Comprehensive,Colleges and Universities,1,4661414,349100,224,2502350,83495,0,0,0,0,7226.465,779.3499,0,750 East Adams Street,,Syracuse,NY,13210,"Energy Efficient Lighting, lighting sensors/controls,HVAC upgrades, electric motor replacement and energy management system upgrades, steam trap replacement."
2014,12/17/2014,ES-ESN-0336,SUNY Upstate Medical University - Phase 3,Central New York,C - Central,ONONDAGA,Central,"State of New York (OGS, SUNY, all state agencies)",State University of New York,Energy Efficiency - Comprehensive,Colleges and Universities,1,2003666,153552,30,655009,809,0,0,0,0,1528.638,92.22305,0,750 East Adams Street,,Syracuse,NY,13210,"Preliminary scope: Energy efficient lighting, sensors/controls, electric motor replacement. Energy management system upgrades boilers,burners, and controls."
2014,12/16/2014,ES-GSN-5020,Port Authority - World Trade Center Tower One - Fuel Cell and Energy Efficiency,New York City,J - New York City,NEW YORK,Southeastern,PORT AUTHORITY OF NY AND NJ,Port Authority of NY & NJ,Renewables - Fuel Cell,"County, Municipal, & State Government Offices",1,3275629,0,0,9986399.875,0,0,0,0,0,5876.379,2885.81,1200,"World Trade Center, Tower One",,New York,NY,10007,"Procure, deliver and commission a 1.2 Mw fuel cell power plant system including alternates and additions as may be requested and covered under the contract provisions. Finance engineering, design, and installation of the fuel cell power plant and the incremental cost ofenergy efficiency measures necessary to attain LEED Gold and to exceed the NYS Energy Code by 20% in WTC Tower One."
2014,12/15/2014,ES-ESN-5065,Albany County - Ph.2 - Times Union - Design Only,Capital District,F - Capital,ALBANY,Central,"ALBANY, COUNTY OF",,Design Services,"County, Municipal, & State Government Offices",4,238451,174361,0,900116,116110,0,0,,0,4083.483,737.4891,0,112 State St.,,Albany,NY,12207,"Lighting, Boiler, HVAC and Control improvements at the Albany County Times Union Center"
2014,12/10/2014,ES-GSN-0657,PS-99M (Academy of Environmental Science Secondary HS),New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Department of Education,Energy Efficiency - Comprehensive,"Schools, Elementary and Secondary",1,1011551,46435,71.98,304614,0,0,0,,0,704.507,88.02553,0,410 East 100th Street,,Manhattan,NY,10029,"The scope of work includes energy efficient LED lighting upgrades, installation of premium efficiency motors and variable frequency drives (VFDs) to maximize energy savings at the Dillon Courthouse."
